country,year,active_teams,new_teams_first_seen,top100_teams
AD,2019,2,2,0
AD,2020,4,3,0
AD,2021,2,1,0
AD,2022,2,1,0
AD,2023,2,0,0
AD,2024,4,2,0
AD,2025,2,0,0
AE,2014,1,1,0
AE,2016,1,1,0
AE,2017,3,2,0
AE,2018,1,0,0
AE,2019,5,4,0
AE,2020,7,5,0
AE,2021,6,3,0
AE,2022,10,9,0
AE,2023,9,3,0
AE,2024,11,4,0
AE,2025,17,10,0
AE,2026,6,3,0
AF,2014,1,1,0
AF,2015,4,3,0
AF,2016,5,3,0
AF,2017,7,3,0
AF,2018,11,7,0
AF,2019,7,0,0
AF,2020,12,11,0
AF,2021,13,10,0
AF,2022,13,8,0
AF,2023,18,13,0
AF,2024,14,8,0
AF,2025,21,12,0
AF,2026,10,6,0
AG,2020,1,1,0
AG,2021,2,2,0
AG,2023,1,0,0
AG,2024,1,0,0
AG,2025,2,0,0
AI,2024,1,1,0
AL,2014,1,1,0
AL,2018,1,1,0
AL,2019,4,3,0
AL,2020,5,4,0
AL,2021,5,2,0
AL,2022,3,1,0
AL,2023,7,4,0
AL,2024,2,0,0
AL,2025,11,8,0
AL,2026,9,5,0
AM,2016,1,1,0
AM,2017,3,2,0
AM,2018,2,0,0
AM,2019,2,1,0
AM,2020,2,1,0
AM,2021,2,1,0
AM,2022,2,0,0
AM,2023,3,2,0
AM,2024,6,5,0
AM,2025,4,2,0
AM,2026,2,1,0
AO,2015,1,1,0
AO,2018,1,1,0
AO,2020,1,0,0
AO,2022,1,1,0
AQ,2015,1,1,0
AQ,2016,1,0,0
AQ,2017,3,2,0
AQ,2018,3,1,0
AQ,2019,12,10,0
AQ,2020,16,9,0
AQ,2021,15,5,1
AQ,2022,15,6,1
AQ,2023,16,9,1
AQ,2024,26,14,1
AQ,2025,39,19,1
AQ,2026,10,3,0
AR,2011,1,1,0
AR,2012,1,1,0
AR,2013,2,0,0
AR,2014,2,0,0
AR,2015,3,1,0
AR,2016,11,9,0
AR,2017,7,4,0
AR,2018,5,3,0
AR,2019,18,13,0
AR,2020,32,19,0
AR,2021,23,8,0
AR,2022,22,10,0
AR,2023,27,11,0
AR,2024,25,9,0
AR,2025,28,13,0
AR,2026,6,1,0
AS,2019,1,1,0
AS,2021,2,2,0
AS,2025,1,1,0
AT,2011,2,2,1
AT,2012,4,2,1
AT,2013,4,0,1
AT,2014,6,2,1
AT,2015,7,2,1
AT,2016,9,4,2
AT,2017,11,3,2
AT,2018,16,6,2
AT,2019,25,13,2
AT,2020,36,20,2
AT,2021,33,11,1
AT,2022,39,15,1
AT,2023,34,8,1
AT,2024,34,9,3
AT,2025,38,14,2
AT,2026,16,0,0
AU,2012,1,1,0
AU,2013,8,8,1
AU,2014,10,6,1
AU,2015,20,14,2
AU,2016,29,14,2
AU,2017,41,23,1
AU,2018,37,15,0
AU,2019,70,45,0
AU,2020,102,58,1
AU,2021,125,70,1
AU,2022,132,62,1
AU,2023,133,62,0
AU,2024,135,55,0
AU,2025,127,49,0
AU,2026,41,8,1
AW,2019,1,1,0
AW,2020,2,1,0
AW,2021,1,1,0
AW,2022,1,1,0
AW,2023,2,1,0
AW,2024,2,1,0
AW,2025,3,2,0
AX,2018,1,1,0
AX,2019,1,1,0
AX,2020,1,1,0
AX,2021,1,1,0
AX,2023,2,2,0
AX,2024,4,1,0
AX,2025,2,0,0
AZ,2018,2,2,0
AZ,2019,3,2,0
AZ,2020,9,6,0
AZ,2021,7,3,0
AZ,2022,6,1,0
AZ,2023,9,3,0
AZ,2024,14,10,0
AZ,2025,22,18,0
AZ,2026,10,5,0
BA,2018,1,1,0
BA,2019,1,1,0
BA,2021,1,1,0
BA,2022,1,0,0
BD,2014,1,1,0
BD,2015,1,1,0
BD,2016,1,0,0
BD,2017,3,2,1
BD,2018,7,4,1
BD,2019,11,8,0
BD,2020,16,10,0
BD,2021,41,30,0
BD,2022,77,54,0
BD,2023,106,64,0
BD,2024,112,57,0
BD,2025,119,67,0
BD,2026,72,22,5
BE,2011,1,1,0
BE,2012,2,2,0
BE,2013,4,1,0
BE,2014,9,7,2
BE,2015,10,5,2
BE,2016,11,5,1
BE,2017,24,15,0
BE,2018,25,10,0
BE,2019,30,15,0
BE,2020,53,34,0
BE,2021,43,17,0
BE,2022,40,16,0
BE,2023,40,11,0
BE,2024,53,26,0
BE,2025,28,6,0
BE,2026,12,2,0
BG,2016,4,4,0
BG,2017,2,1,0
BG,2018,4,2,0
BG,2019,6,4,0
BG,2020,9,6,0
BG,2021,13,8,0
BG,2022,9,4,0
BG,2023,10,2,0
BG,2024,10,2,1
BG,2025,13,5,0
BG,2026,8,1,0
BH,2015,1,1,0
BH,2019,1,1,0
BH,2021,1,1,0
BH,2022,1,0,0
BH,2023,1,1,0
BH,2024,4,4,0
BH,2025,3,1,0
BH,2026,1,1,0
BI,2020,1,1,0
BI,2025,1,1,0
BJ,2012,1,1,0
BJ,2016,1,0,0
BJ,2019,2,1,0
BJ,2020,10,8,0
BJ,2021,5,3,0
BJ,2022,5,3,0
BJ,2023,7,3,0
BJ,2024,4,2,0
BJ,2025,10,9,0
BJ,2026,1,0,0
BL,2022,1,1,0
BL,2023,1,0,0
BL,2024,1,0,0
BL,2025,1,0,0
BM,2024,1,1,0
BM,2025,1,1,0
BM,2026,1,1,0
BN,2017,1,1,0
BN,2018,1,1,0
BN,2019,3,1,0
BN,2020,1,0,0
BN,2022,2,0,0
BN,2023,3,2,0
BN,2024,4,1,0
BN,2025,2,0,0
BO,2016,1,1,0
BO,2017,1,0,0
BO,2020,2,2,0
BO,2021,2,2,0
BO,2023,1,0,0
BO,2024,2,1,0
BO,2025,3,2,0
BQ,2020,1,1,0
BR,2011,1,1,0
BR,2012,2,1,0
BR,2013,4,3,0
BR,2014,7,4,0
BR,2015,16,10,0
BR,2016,42,31,1
BR,2017,39,16,3
BR,2018,37,14,2
BR,2019,50,28,2
BR,2020,65,28,2
BR,2021,60,25,1
BR,2022,46,19,1
BR,2023,47,17,0
BR,2024,63,28,0
BR,2025,62,26,1
BR,2026,24,6,2
BS,2018,1,1,0
BS,2019,1,0,0
BS,2021,2,1,0
BS,2022,1,0,0
BS,2023,1,0,0
BS,2025,1,1,0
BS,2026,1,0,0
BT,2022,1,1,0
BT,2023,1,0,0
BT,2024,1,0,0
BV,2019,1,1,0
BV,2020,1,0,0
BV,2021,1,0,0
BV,2022,1,1,0
BV,2023,1,0,0
BV,2024,1,1,0
BV,2025,1,0,0
BV,2026,1,0,0
BW,2024,1,1,0
BW,2025,2,1,0
BY,2012,1,1,0
BY,2013,1,0,0
BY,2014,2,1,0
BY,2015,3,1,0
BY,2016,5,4,0
BY,2017,6,3,0
BY,2018,11,9,0
BY,2019,12,3,0
BY,2020,7,1,0
BY,2021,11,6,1
BY,2022,15,7,1
BY,2023,16,7,0
BY,2024,26,14,0
BY,2025,69,52,0
BY,2026,30,10,1
BZ,2013,1,1,0
BZ,2014,1,0,0
BZ,2015,1,0,0
BZ,2016,1,0,0
CA,2011,2,2,1
CA,2012,10,8,1
CA,2013,17,10,1
CA,2014,23,14,1
CA,2015,35,20,1
CA,2016,42,19,0
CA,2017,40,18,1
CA,2018,60,29,1
CA,2019,79,44,0
CA,2020,126,75,1
CA,2021,128,66,1
CA,2022,133,53,1
CA,2023,143,57,1
CA,2024,126,44,2
CA,2025,126,48,2
CA,2026,63,18,0
CC,2024,1,1,0
CC,2026,1,0,0
CD,2025,1,1,0
CD,2026,1,1,0
CF,2015,1,1,0
CG,2011,1,1,0
CG,2012,2,1,1
CG,2013,1,0,0
CG,2014,2,0,0
CG,2015,1,0,1
CG,2016,2,0,1
CG,2017,2,0,1
CG,2018,2,0,1
CG,2019,2,0,1
CG,2020,3,1,1
CG,2021,2,0,0
CG,2022,2,0,0
CG,2023,3,0,0
CG,2024,3,0,0
CG,2025,2,0,0
CG,2026,2,0,0
CH,2011,2,2,0
CH,2012,5,3,2
CH,2013,9,5,1
CH,2014,11,6,0
CH,2015,22,8,1
CH,2016,22,7,1
CH,2017,32,15,0
CH,2018,36,14,1
CH,2019,52,24,2
