country,year,n_teams,n_events,n_academic_teams,top10_appearances,top50_appearances,top100_appearances,median_place,mean_place,total_appearances
AE,2017,1,1,1,0,0,0,838,838,1
AE,2018,1,2,1,0,0,1,493.5,493.5,2
AE,2019,1,5,1,0,0,1,198,168.2,5
AE,2023,1,1,0,0,0,0,496,496,1
AE,2024,1,10,0,0,1,3,290.5,443.6,10
AE,2025,1,3,0,0,0,0,285,321,3
AF,2014,1,3,1,0,0,0,246,219.7,3
AF,2015,2,10,2,0,1,3,174,235.9,11
AF,2016,3,12,1,0,0,1,265.0,330.9,12
AF,2017,4,12,2,0,3,3,246,306.6,13
AF,2018,9,16,3,0,0,2,339,420.1,17
AF,2019,4,9,1,0,1,2,319.0,396,10
AF,2020,2,3,1,0,0,0,816,810.7,3
AF,2021,1,1,0,0,0,0,918,918,1
AF,2022,4,4,0,0,1,1,695,1260,5
AF,2023,3,3,0,0,0,0,577,1187.3,3
AF,2024,3,3,0,0,0,1,167,406.3,3
AF,2025,3,3,0,0,0,0,690,615,3
AG,2021,1,1,0,0,0,0,594,594,1
AG,2024,1,4,0,0,0,0,571.0,499.2,4
AG,2025,1,1,0,0,0,0,927,927,1
AL,2018,1,2,0,0,0,1,386.0,386,2
AL,2019,2,2,0,0,0,0,386.5,386.5,2
AL,2020,1,3,0,0,0,0,132,164.3,3
AL,2021,2,4,0,0,0,0,729.5,670.5,4
AL,2022,2,6,0,0,0,0,456.5,787.3,6
AL,2023,2,4,0,0,0,1,471.0,690,4
AL,2024,2,3,0,0,0,0,395,461.7,3
AL,2025,2,9,0,0,0,0,444,478.1,9
AL,2026,2,2,0,0,0,0,261,267.7,3
AM,2016,1,1,0,0,0,0,254,254,1
AM,2017,2,34,0,0,1,9,226.5,324.4,38
AM,2018,2,50,0,0,3,10,210.5,264.3,56
AM,2019,1,5,0,0,1,2,126,234.6,5
AM,2020,1,6,0,0,0,0,269.0,379.2,6
AM,2021,1,1,0,0,0,0,375,375,1
AM,2022,1,1,0,0,0,0,198,198,1
AO,2015,1,1,1,0,0,0,447,447,1
AQ,2015,1,1,1,0,0,0,339,339,1
AQ,2016,1,2,1,0,1,2,70.0,70,2
AQ,2017,2,8,0,0,3,3,193,192,9
AQ,2018,2,2,0,0,0,0,630.0,630,2
AQ,2019,2,5,1,0,0,0,226,317.6,5
AQ,2020,2,7,1,0,1,1,643,695.9,7
AQ,2021,3,6,1,0,1,2,283.0,514.5,6
AQ,2022,2,9,1,0,0,0,374,474.4,9
AQ,2023,2,9,1,0,0,0,364,578.6,9
AQ,2024,2,23,1,0,0,1,438,513.8,23
AQ,2025,2,23,1,0,1,1,321.0,446.5,24
