year,events,mean_weight,max_weight,mean_participants,max_participants,onsite_count,online_count,format_Attack-Defense,format_Hack quest,format_Jeopardy,format_unknown
2011,17,48.82,100.00,41.6,267,7,10,6,0,11,0
2012,34,43.53,100.00,24.4,278,16,18,9,2,23,0
2013,55,33.27,90.00,29.1,134,20,35,13,1,41,0
2014,57,28.68,90.00,48.9,173,23,34,8,1,48,0
2015,80,21.93,90.00,55.1,182,32,48,12,2,66,0
2016,104,18.74,88.49,61.0,263,42,62,13,3,87,1
2017,132,19.15,88.49,67.6,433,39,93,13,2,117,0
2018,145,22.02,100.00,61.9,372,53,92,15,1,129,0
2019,182,21.19,100.00,67.2,541,52,130,19,3,160,0
2020,216,23.39,100.00,92.1,616,19,197,21,4,191,0
2021,233,24.65,100.00,76.4,396,17,216,17,7,209,0
2022,259,22.76,100.00,70.4,385,38,221,15,4,240,0
2023,315,22.96,100.00,64.2,507,68,247,24,6,285,0
2024,334,23.44,100.00,72.3,491,68,266,21,6,307,0
2025,340,24.76,100.00,76.3,572,68,272,15,3,322,0
2026,186,20.80,100.00,57.8,422,33,153,6,3,177,0
