iso2,source,vintage_year,perf_appearances,median_event_percentile,mean_event_percentile,top10_pct_share,top25_pct_share,top50_pct_share,top10_pct_count,top25_pct_count,top50_pct_count
DE,GCI,2020,1582,0.7355,0.6628,0.2535,0.4855,0.7307,401,768,1156
IT,GCI,2020,651,0.8094,0.7026,0.3226,0.5837,0.7634,210,380,497
AT,GCI,2020,382,0.8359,0.7522,0.3377,0.6283,0.8665,129,240,331
NL,GCI,2020,230,0.7042,0.6401,0.1652,0.4609,0.7217,38,106,166
RU,GCI,2020,2444,0.6663,0.6084,0.23,0.412,0.6424,562,1007,1570
PT,GCI,2020,313,0.8289,0.7199,0.3642,0.6262,0.7859,114,196,246
US,GCI,2020,3908,0.7137,0.6329,0.2526,0.4639,0.6702,987,1813,2619
JP,GCI,2020,2990,0.7356,0.6457,0.2401,0.4816,0.6993,718,1440,2091
IN,GCI,2020,2741,0.6225,0.5785,0.1908,0.3725,0.6045,523,1021,1657
CN,GCI,2020,2119,0.7815,0.6735,0.3086,0.5385,0.7258,654,1141,1538
GR,GCI,2020,82,0.7753,0.6886,0.4146,0.5122,0.7195,34,42,59
VN,GCI,2020,1023,0.642,0.5935,0.1828,0.3978,0.6393,187,407,654
BR,GCI,2020,527,0.7152,0.6421,0.2429,0.4592,0.7002,128,242,369
TN,GCI,2020,275,0.6475,0.5806,0.1745,0.3709,0.5964,48,102,164
FR,GCI,2020,1106,0.6873,0.6234,0.1781,0.415,0.6817,197,459,754
CZ,GCI,2020,168,0.7796,0.6983,0.3333,0.5357,0.756,56,90,127
KR,GCI,2020,1872,0.63,0.5823,0.2003,0.3841,0.6058,375,719,1134
UA,GCI,2020,385,0.7976,0.7,0.3325,0.5532,0.7688,128,213,296
ES,GCI,2020,421,0.7352,0.6597,0.2827,0.4941,0.7078,119,208,298
PL,GCI,2020,1134,0.7106,0.646,0.2698,0.4577,0.6931,306,519,786
ID,GCI,2020,997,0.5794,0.5578,0.1444,0.333,0.5817,144,332,580
RO,GCI,2020,217,0.6501,0.6045,0.212,0.4194,0.6498,46,91,141
SE,GCI,2020,369,0.861,0.7437,0.4309,0.6125,0.813,159,226,300
MY,GCI,2020,101,0.6716,0.6016,0.1584,0.396,0.6931,16,40,70
GB,GCI,2020,701,0.657,0.5942,0.1698,0.3937,0.6348,119,276,445
LT,GCI,2020,73,0.7586,0.6819,0.2466,0.5068,0.7671,18,37,56
TW,GCI,2020,531,0.7445,0.6628,0.3164,0.4991,0.6911,168,265,367
AU,GCI,2020,321,0.751,0.649,0.215,0.5016,0.7165,69,161,230
HR,GCI,2020,317,0.6336,0.5893,0.0252,0.2681,0.6972,8,85,221
LK,GCI,2020,12,0.4845,0.4832,0.0,0.1667,0.4167,0,2,5
CA,GCI,2020,345,0.6604,0.6056,0.1304,0.4145,0.6696,45,143,231
SG,GCI,2020,247,0.6919,0.6255,0.2186,0.4372,0.6761,54,108,167
PK,GCI,2020,34,0.4332,0.4016,0.0,0.0588,0.4118,0,2,14
OM,GCI,2020,8,0.4303,0.494,0.125,0.125,0.375,1,1,3
EE,GCI,2020,48,0.5827,0.5654,0.1875,0.3333,0.6042,9,16,29
TH,GCI,2020,248,0.3028,0.3523,0.0202,0.0726,0.3226,5,18,80
IR,GCI,2020,349,0.481,0.4774,0.0917,0.2063,0.4785,32,72,167
EG,GCI,2020,144,0.6241,0.5796,0.1944,0.4028,0.625,28,58,90
MN,GCI,2020,410,0.3918,0.4188,0.0488,0.1561,0.3854,20,64,158
AR,GCI,2020,67,0.7126,0.6611,0.3284,0.4776,0.6866,22,32,46
TR,GCI,2020,212,0.6299,0.5815,0.2264,0.3726,0.5896,48,79,125
BY,GCI,2020,115,0.4409,0.4648,0.0522,0.2087,0.4348,6,24,50
IL,GCI,2020,313,0.655,0.5776,0.1981,0.3962,0.607,62,124,190
SA,GCI,2020,77,0.4185,0.4312,0.0519,0.1558,0.4026,4,12,31
BG,GCI,2020,32,0.8857,0.7259,0.4375,0.6562,0.7188,14,21,23
DZ,GCI,2020,155,0.6416,0.5735,0.1742,0.4,0.6,27,62,93
HU,GCI,2020,179,0.8216,0.7399,0.3743,0.5866,0.8045,67,105,144
DK,GCI,2020,204,0.747,0.6801,0.2794,0.5,0.7451,57,102,152
CH,GCI,2020,371,0.7876,0.6933,0.3073,0.5526,0.7466,114,205,277
LA,GCI,2020,14,0.6209,0.6235,0.0,0.2143,0.8571,0,3,12
NO,GCI,2020,86,0.7853,0.6498,0.2209,0.5465,0.7093,19,47,61
MD,GCI,2020,19,0.1918,0.3773,0.0,0.2632,0.3684,0,5,7
MX,GCI,2020,136,0.6524,0.6189,0.1691,0.4044,0.6691,23,55,91
IE,GCI,2020,57,0.4446,0.4645,0.0175,0.1579,0.4386,1,9,25
EC,GCI,2020,34,0.809,0.7869,0.2941,0.7059,0.9412,10,24,32
PH,GCI,2020,97,0.6422,0.5964,0.1959,0.3711,0.6598,19,36,64
HM,GCI,2020,6,0.3442,0.3909,0.0,0.1667,0.1667,0,1,1
KE,GCI,2020,41,0.1924,0.2395,0.0,0.0,0.1463,0,0,6
CG,GCI,2020,62,0.8685,0.7039,0.4839,0.5968,0.7097,30,37,44
SY,GCI,2020,24,0.3047,0.3257,0.0,0.0833,0.25,0,2,6
NG,GCI,2020,23,0.5349,0.4912,0.0,0.087,0.5217,0,2,12
AQ,GCI,2020,18,0.404,0.4346,0.0556,0.1667,0.3889,1,3,7
JO,GCI,2020,56,0.7286,0.6689,0.1607,0.4643,0.7143,9,26,40
VA,GCI,2020,6,0.6992,0.6923,0.0,0.5,1.0,0,3,6
MM,GCI,2020,25,0.489,0.4652,0.0,0.12,0.44,0,3,11
KZ,GCI,2020,21,0.5142,0.5039,0.0476,0.1429,0.5714,1,3,12
HK,GCI,2020,83,0.5132,0.5048,0.0964,0.2651,0.5181,8,22,43
MA,GCI,2020,85,0.3653,0.4138,0.0824,0.1882,0.3765,7,16,32
IS,GCI,2020,23,0.4428,0.4348,0.087,0.2174,0.4348,2,5,10
QA,GCI,2020,3,0.6389,0.5197,0.0,0.0,0.6667,0,0,2
NF,GCI,2020,14,0.246,0.2661,0.0,0.0,0.0714,0,0,1
BD,GCI,2020,25,0.8117,0.7284,0.36,0.64,0.8,9,16,20
GE,GCI,2020,6,0.7545,0.6397,0.0,0.6667,0.8333,0,4,5
IM,GCI,2020,18,0.2191,0.281,0.0556,0.0556,0.2222,1,1,4
RS,GCI,2020,16,0.5296,0.5237,0.125,0.25,0.5625,2,4,9
GQ,GCI,2020,7,0.6755,0.6056,0.1429,0.4286,0.5714,1,3,4
GG,GCI,2020,4,0.7866,0.7846,0.5,0.5,1.0,2,2,4
NZ,GCI,2020,8,0.5345,0.5376,0.0,0.25,0.5,0,2,4
AM,GCI,2020,12,0.5328,0.507,0.0,0.3333,0.5833,0,4,7
GS,GCI,2020,7,0.6439,0.5423,0.0,0.1429,0.5714,0,1,4
ZA,GCI,2020,3,0.2279,0.2024,0.0,0.0,0.0,0,0,0
AL,GCI,2020,9,0.382,0.4348,0.0,0.1111,0.4444,0,1,4
BE,GCI,2020,78,0.6881,0.6218,0.2051,0.4103,0.6923,16,32,54
LC,GCI,2020,15,0.1825,0.265,0.0,0.0667,0.1333,0,1,2
MR,GCI,2020,9,0.3755,0.4817,0.0,0.3333,0.4444,0,3,4
KP,GCI,2020,18,0.6543,0.5708,0.0556,0.3333,0.7222,1,6,13
CX,GCI,2020,3,0.6377,0.593,0.0,0.0,0.6667,0,0,2
LU,GCI,2020,12,0.8121,0.7224,0.4167,0.5833,0.75,5,7,9
BJ,GCI,2020,2,0.6421,0.6421,0.0,0.0,1.0,0,0,2
NP,GCI,2020,2,0.8242,0.8242,0.5,0.5,1.0,1,1,2
GD,GCI,2020,14,0.412,0.5049,0.2143,0.2143,0.4286,3,3,6
CO,GCI,2020,56,0.4893,0.4746,0.0179,0.1607,0.4643,1,9,26
FI,GCI,2020,10,0.4883,0.4744,0.0,0.0,0.4,0,0,4
CY,GCI,2020,4,0.9577,0.8484,0.75,0.75,0.75,3,3,3
UG,GCI,2020,17,0.5462,0.4269,0.0,0.1176,0.5294,0,2,9
KH,GCI,2020,9,0.7188,0.5515,0.0,0.4444,0.5556,0,4,5
MG,GCI,2020,2,0.4374,0.4374,0.0,0.0,0.5,0,0,1
TJ,GCI,2020,6,0.2388,0.2872,0.0,0.0,0.1667,0,0,1
BS,GCI,2020,9,0.5847,0.5031,0.0,0.2222,0.5556,0,2,5
SK,GCI,2020,39,0.9211,0.842,0.5385,0.7949,0.9487,21,31,37
AG,GCI,2020,1,0.5111,0.5111,0.0,0.0,1.0,0,0,1
PS,GCI,2020,3,0.3971,0.3925,0.0,0.0,0.3333,0,0,1
TZ,GCI,2020,1,0.3003,0.3003,0.0,0.0,0.0,0,0,0
