event_id,parsed_rows,api_participants,abs_diff_rows,parser_status,table_count,page_chars,weight_displayed,used_table_class
1,278,267,11,ok,1,11120,100.0,table table-striped past_event_rating
10,235,0,,ok,1,6658,40.0,table table-striped past_event_rating
100,59,12,47,ok,1,2150,20.0,table table-striped past_event_rating
1000,70,84,14,row_count_undercount,1,3173,65.0,table table-striped past_event_rating
1002,79,19,60,ok,1,3415,0.0,table table-striped past_event_rating
1003,144,135,9,ok,1,4854,23.39,table table-striped past_event_rating
1004,627,117,510,ok,1,17469,23.75,table table-striped past_event_rating
1005,7,0,,ok,1,1172,0.0,table table-striped past_event_rating
1006,431,68,363,ok,1,12517,24.56,table table-striped past_event_rating
1007,285,85,200,ok,1,10551,24.15,table table-striped past_event_rating
1008,16,0,,ok,1,1149,0.0,table table-striped past_event_rating
1009,659,172,487,ok,1,25463,0.0,table table-striped past_event_rating
101,20,5,15,ok,1,1319,80.0,table table-striped past_event_rating
1010,0,98,98,empty_scoreboard,0,1105,21.73,
1011,0,39,39,empty_scoreboard,0,926,0.0,
1012,784,151,633,ok,1,21831,24.09,table table-striped past_event_rating
1013,0,127,127,empty_scoreboard,0,1604,0.0,
1014,428,85,343,ok,1,13122,24.83,table table-striped past_event_rating
1015,33,7,26,ok,1,2343,0.0,table table-striped past_event_rating
1016,429,107,322,ok,1,13511,31.4,table table-striped past_event_rating
1017,277,91,186,ok,1,8172,25.0,table table-striped past_event_rating
1018,23,35,12,row_count_undercount,1,1677,41.5,table table-striped past_event_rating
1019,449,112,337,ok,1,13889,21.44,table table-striped past_event_rating
102,15,11,4,ok,1,1176,30.0,table table-striped past_event_rating
1020,1184,203,981,ok,1,35965,22.51,table table-striped past_event_rating
1022,318,107,211,ok,1,9123,35.93,table table-striped past_event_rating
1023,344,145,199,ok,1,10679,0.0,table table-striped past_event_rating
1024,86,34,52,ok,1,3870,23.5,table table-striped past_event_rating
1025,458,105,353,ok,1,13101,24.55,table table-striped past_event_rating
1026,851,184,667,ok,1,22673,99.55,table table-striped past_event_rating
1029,101,85,16,ok,1,3599,35.38,table table-striped past_event_rating
103,192,79,113,ok,1,7178,20.0,table table-striped past_event_rating
1030,1236,198,1038,ok,1,34906,23.29,table table-striped past_event_rating
1032,1530,0,,ok,1,40932,22.79,table table-striped past_event_rating
1033,753,144,609,ok,1,20306,24.28,table table-striped past_event_rating
1034,828,210,618,ok,1,23454,24.29,table table-striped past_event_rating
1036,418,157,261,ok,1,12362,0.0,table table-striped past_event_rating
104,0,5,5,empty_scoreboard,0,911,10.0,
1040,320,63,257,ok,1,9617,24.02,table table-striped past_event_rating
