iso2,country,rho_jackknife,delta_rho
CA,Canada,0.4151,0.0524
ES,Spain,0.4141,0.0514
CZ,Czechia,0.3133,-0.0494
MN,Mongolia,0.3155,-0.0472
ID,Indonesia,0.4075,0.0448
DZ,Algeria,0.3183,-0.0444
CN,China,0.403,0.0403
RO,Romania,0.4017,0.039
BR,Brazil,0.4001,0.0374
BE,Belgium,0.3293,-0.0334
EG,Egypt,0.3362,-0.0265
MY,Malaysia,0.3401,-0.0226
TR,Türkiye,0.3417,-0.021
MX,Mexico,0.3439,-0.0187
IN,India,0.3804,0.0177
PL,Poland,0.3804,0.0177
CH,Switzerland,0.38,0.0173
FR,France,0.3787,0.016
IT,Italy,0.3474,-0.0153
PT,Portugal,0.3479,-0.0148
UA,Ukraine,0.3488,-0.0139
AT,Austria,0.3492,-0.0135
DE,Germany,0.3495,-0.0132
DK,Denmark,0.3534,-0.0093
AU,Australia,0.3707,0.008
NO,Norway,0.3693,0.0066
MA,Morocco,0.3562,-0.0065
TN,Tunisia,0.3575,-0.0052
GB,United Kingdom,0.3585,-0.0042
SA,Saudi Arabia,0.3586,-0.0041
SG,Singapore,0.3663,0.0036
AR,Argentina,0.3599,-0.0028
SE,Sweden,0.3602,-0.0025
US,United States,0.3652,0.0025
JP,Japan,0.3638,0.0011
KR,South Korea,0.3638,0.0011
NL,Netherlands,0.3628,0.0001
