appearances,index_percentile,iso2,median_event_percentile,median_event_percentile_pct,source,subset,subset_divergence,subset_perf_composite_pct,top10_pct_share,top10_pct_share_pct,vintage_year
544,88.49,DE,0.8771,89.66,GCI,academic,0.31,88.8,0.4375,87.93,2020
334,84.21,IT,0.8949,94.83,GCI,academic,10.62,94.83,0.485,94.83,2020
309,78.29,AT,0.8502,82.76,GCI,academic,1.89,80.18,0.3625,77.59,2020
59,,NL,0.6316,39.66,GCI,academic,,40.52,0.1356,41.38,2020
1250,94.74,RU,0.7314,48.28,GCI,academic,-36.98,57.76,0.2784,67.24,2020
280,87.5,PT,0.8538,86.21,GCI,academic,-2.16,85.34,0.4071,84.48,2020
2053,100.0,US,0.7732,63.79,GCI,academic,-31.9,68.1,0.2947,72.41,2020
1530,90.79,IN,0.6667,41.38,GCI,academic,-45.1,45.69,0.2118,50.0,2020
906,75.33,CN,0.8658,87.93,GCI,academic,11.74,87.07,0.4172,86.21,2020
413,80.92,VN,0.7581,56.03,GCI,academic,-17.99,62.93,0.2857,69.83,2020
81,67.76,TN,0.8536,84.48,GCI,academic,19.31,87.07,0.4444,89.66,2020
255,47.37,UA,0.8322,81.03,GCI,academic,34.53,81.9,0.3922,82.76,2020
507,96.71,KR,0.6764,44.83,GCI,academic,-51.02,45.69,0.1992,46.55,2020
638,81.58,ID,0.6762,43.1,GCI,academic,-35.89,45.69,0.2022,48.28,2020
114,57.89,RO,0.8101,74.14,GCI,academic,17.11,75.0,0.3333,75.86,2020
18,94.74,MY,0.4285,17.24,GCI,academic,-81.38,13.36,0.0,9.48,2020
346,92.76,JP,0.7619,58.62,GCI,academic,-41.04,51.72,0.1821,44.83,2020
104,,TW,0.8002,72.41,GCI,academic,,75.86,0.3654,79.31,2020
117,89.47,AU,0.7784,70.69,GCI,academic,-23.09,66.38,0.2479,62.07,2020
6,44.08,LK,0.4718,22.41,GCI,academic,-28.13,15.95,0.0,9.48,2020
55,96.71,SG,0.494,25.86,GCI,academic,-65.67,31.04,0.1273,36.21,2020
120,62.17,IR,0.5337,34.48,GCI,academic,-27.69,34.48,0.1083,34.48,2020
17,82.24,EG,0.346,10.34,GCI,academic,-64.14,18.1,0.0588,25.86,2020
42,39.47,AR,0.7295,46.55,GCI,academic,18.72,58.19,0.2857,69.83,2020
93,40.13,BY,0.4324,18.97,GCI,academic,-20.3,19.83,0.0215,20.69,2020
93,99.01,GB,0.7748,67.24,GCI,academic,-36.94,62.07,0.2366,56.9,2020
171,91.45,FR,0.7455,53.45,GCI,academic,-38.0,53.45,0.2222,53.45,2020
77,85.53,BR,0.7736,65.52,GCI,academic,-22.6,62.93,0.2468,60.34,2020
67,96.71,ES,0.8853,93.1,GCI,academic,-3.61,93.1,0.4776,93.1,2020
117,77.63,PL,0.8839,91.38,GCI,academic,13.75,91.38,0.4701,91.38,2020
106,80.26,SE,0.8225,79.31,GCI,academic,-0.09,80.17,0.3868,81.03,2020
55,90.13,TR,0.772,62.07,GCI,academic,-26.33,63.8,0.2727,65.52,2020
13,21.05,LA,0.6009,37.93,GCI,academic,2.65,23.7,0.0,9.48,2020
96,63.82,MX,0.7754,68.97,GCI,academic,-0.02,63.8,0.2396,58.62,2020
