team_id,n_events,first_year,last_year,years_active,best_place,top10_count,top50_count
1,28,2011,2026,16,5,3,13
2,8,2011,2012,2,3,5,6
3,20,2011,2023,13,1,15,18
279,8,2011,2013,3,1,7,7
280,55,2011,2014,4,1,16,37
282,14,2011,2014,4,1,14,14
284,430,2011,2026,16,1,161,278
285,381,2011,2026,16,1,116,277
288,112,2011,2020,10,1,46,100
295,24,2011,2020,10,6,2,7
298,141,2011,2025,15,2,22,67
300,281,2011,2026,16,1,53,185
303,61,2011,2021,11,1,6,29
308,52,2011,2020,10,3,9,32
310,58,2011,2022,12,1,12,38
312,15,2011,2026,16,3,1,3
314,28,2011,2015,5,3,6,18
315,154,2011,2025,15,4,4,24
319,10,2011,2012,2,5,2,9
322,95,2011,2019,9,1,41,79
324,17,2011,2019,9,1,7,16
326,60,2011,2021,11,6,4,17
333,116,2011,2026,16,7,5,34
339,121,2011,2020,10,1,35,87
347,20,2011,2020,10,2,6,14
350,19,2011,2016,6,4,3,7
355,31,2011,2016,6,18,0,8
358,24,2011,2026,16,7,1,2
359,26,2011,2025,15,8,1,10
367,50,2011,2024,14,4,2,21
369,223,2011,2026,16,1,63,161
374,28,2011,2024,14,5,2,12
386,32,2011,2015,5,2,6,18
397,352,2011,2026,16,1,15,77
400,6,2011,2024,14,105,0,0
405,187,2011,2025,15,6,3,41
418,18,2011,2014,4,38,0,1
430,9,2011,2014,4,17,0,1
439,407,2011,2026,16,2,18,105
446,148,2011,2026,16,2,9,38
455,73,2011,2026,16,4,5,49
469,108,2011,2025,15,2,25,66
478,17,2011,2024,14,25,0,1
496,74,2011,2017,7,2,8,23
518,11,2011,2016,6,62,0,0
520,38,2011,2022,12,19,0,13
532,11,2011,2025,15,197,0,0
545,42,2011,2020,10,4,4,18
550,205,2011,2025,15,1,25,102
551,267,2011,2026,16,1,74,182
552,63,2011,2024,14,1,18,39
553,31,2011,2019,9,7,3,12
554,186,2011,2025,15,3,13,77
555,40,2011,2025,15,1,9,27
557,297,2011,2026,16,1,33,112
558,82,2011,2025,15,1,6,30
559,75,2011,2019,9,12,0,17
561,69,2011,2024,14,8,2,25
565,3,2011,2017,7,24,0,1
566,86,2011,2018,8,2,10,29
567,5,2012,2022,11,15,0,1
571,10,2011,2012,2,10,1,9
572,271,2011,2026,16,1,65,169
573,109,2011,2026,16,4,3,19
576,17,2011,2026,16,49,0,1
579,17,2016,2026,11,130,0,0
583,9,2011,2024,14,2,1,2
586,384,2011,2026,16,1,137,294
590,24,2011,2021,11,11,0,12
599,42,2011,2015,5,4,9,21
603,92,2011,2023,13,6,3,36
609,13,2011,2019,9,2,4,7
610,5,2011,2012,2,1,2,4
617,84,2011,2021,11,1,4,47
619,39,2011,2025,15,17,0,9
622,17,2011,2013,3,5,3,9
626,30,2011,2024,14,5,4,18
631,7,2011,2022,12,54,0,0
632,20,2011,2015,5,23,0,6
633,6,2011,2018,8,16,0,1
645,18,2011,2024,14,4,2,4
646,6,2011,2021,11,90,0,0
651,10,2011,2018,8,19,0,4
662,574,2011,2026,16,1,88,375
666,20,2011,2025,15,113,0,0
667,7,2011,2015,5,68,0,0
681,139,2011,2025,15,2,4,41
712,20,2011,2015,5,18,0,3
723,35,2011,2025,15,20,0,2
755,3,2012,2024,13,4,1,1
757,160,2011,2026,16,1,17,57
760,139,2011,2026,16,1,43,115
762,761,2012,2026,15,1,236,479
769,13,2012,2015,4,29,0,1
776,6,2012,2019,8,14,0,4
793,75,2012,2016,5,3,1,25
794,69,2011,2021,11,16,0,13
802,12,2012,2013,2,59,0,0
804,25,2012,2015,4,8,2,16
812,82,2012,2024,13,4,3,19
818,5,2011,2015,5,30,0,2
824,11,2012,2013,2,21,0,2
826,96,2011,2019,9,1,20,48
859,8,2012,2022,11,15,0,2
900,108,2012,2026,15,5,6,30
902,5,2012,2014,3,38,0,1
913,15,2012,2021,10,3,8,12
926,95,2012,2026,15,5,1,18
930,3,2012,2016,5,173,0,0
962,41,2012,2016,5,6,1,7
965,25,2012,2014,3,85,0,0
975,24,2012,2024,13,5,4,9
988,14,2011,2017,7,7,1,4
1005,233,2011,2026,16,1,151,213
1006,4,2011,2020,10,4,2,2
