country_iso2,gdp_per_capita_ppp,internet_users_pct,population,tertiary_education_pct
AD,14,14,14,13
AE,14,14,14,7
AF,13,14,14,4
AG,14,14,14,2
AI,0,0,0,0
AL,14,14,14,14
AM,14,14,14,14
AO,14,14,14,6
AQ,0,0,0,0
AR,14,14,14,13
AS,0,0,14,0
AT,14,15,14,14
AU,14,14,14,10
AW,14,7,14,7
AX,0,0,0,0
AZ,14,15,14,14
BA,14,14,14,13
BD,14,14,14,14
BE,14,14,14,13
BG,14,14,14,14
BH,14,14,14,14
BI,14,14,14,9
BJ,14,14,14,12
BL,0,0,0,0
BM,14,7,14,8
BN,14,14,14,13
BO,14,14,14,0
BQ,0,0,0,0
BR,14,14,14,12
BS,14,14,14,0
BT,13,14,14,11
BV,0,0,0,0
BW,14,13,14,13
BY,14,14,14,14
BZ,14,14,14,14
CA,14,14,14,13
CC,0,0,0,0
CD,14,13,14,5
CF,14,12,14,2
CG,14,14,14,5
CH,14,15,14,14
CI,14,14,14,12
CK,0,0,0,0
CL,14,14,14,14
CM,14,14,14,14
CN,14,15,14,14
CO,14,14,14,12
CR,14,14,14,9
CU,0,14,14,13
CV,14,14,14,8
CW,14,2,14,1
CX,0,0,0,0
CY,14,14,14,14
CZ,14,14,14,13
DE,14,14,14,12
DJ,12,14,14,1
DK,14,14,14,14
DM,14,13,14,0
DO,14,14,14,10
DZ,14,14,14,14
EC,14,14,14,8
EE,14,14,14,14
EG,14,14,14,15
EH,0,0,0,0
ER,1,10,14,3
ES,14,14,14,14
ET,14,14,14,3
FI,14,14,14,14
FJ,14,14,14,11
FK,0,0,0,0
FM,14,13,14,0
FO,14,7,14,0
FR,14,14,14,14
GA,14,14,14,0
GB,14,14,14,13
GD,14,14,14,4
GE,14,14,14,14
GF,0,0,0,0
GG,0,0,0,0
GH,14,14,14,14
GI,0,3,14,0
GL,13,7,14,0
GN,14,14,14,4
GQ,14,14,14,0
GR,14,14,14,12
GS,0,0,0,0
GT,14,14,14,7
GU,0,7,14,0
HK,14,14,14,14
HM,0,0,0,0
HN,14,14,14,9
HR,14,14,14,13
HU,14,14,14,14
ID,14,14,14,13
IE,14,14,14,12
IL,14,14,14,14
IM,0,0,14,0
IN,14,15,14,15
IQ,14,14,14,0
IR,14,14,14,12
IS,14,14,14,13
IT,14,14,14,13
JM,14,14,14,4
JO,14,14,14,12
JP,14,14,14,11
KE,14,14,14,6
KG,14,14,14,15
KH,14,14,14,10
KI,14,14,14,1
KM,14,13,14,5
KP,0,0,14,3
KR,14,14,14,14
KW,14,15,14,8
KZ,14,14,14,15
LA,14,14,14,13
LB,13,14,14,13
LC,14,14,14,12
LI,0,13,14,10
LK,14,14,14,13
LS,14,14,14,6
LT,14,14,14,14
LU,14,15,14,11
LV,14,14,14,14
LY,14,14,14,0
MA,14,14,14,14
MC,0,13,14,2
MD,14,14,14,14
MF,0,0,14,0
MG,14,14,14,13
MK,14,15,14,11
ML,14,14,14,5
MM,14,10,14,3
MN,14,14,14,14
MO,14,14,14,14
MP,0,0,14,0
MQ,0,0,0,0
MR,14,14,14,9
MS,0,0,0,0
MT,14,14,14,13
MV,14,14,14,6
MX,14,14,14,14
MY,14,14,14,14
MZ,14,14,14,8
NA,14,14,14,11
NC,0,6,14,0
NE,14,14,14,7
NF,0,0,0,0
NG,14,14,14,1
NI,14,14,14,1
NL,14,14,14,9
NO,14,14,14,14
NP,14,14,14,13
NU,0,0,0,0
NZ,14,14,14,12
OM,14,14,14,11
PA,14,14,14,9
PE,14,14,14,2
PF,0,7,14,0
PG,14,14,14,0
PH,14,14,14,14
PK,14,11,14,14
PL,14,14,14,14
PN,0,0,0,0
PR,14,11,14,13
PS,14,12,14,13
PT,14,14,14,9
PY,14,14,14,0
QA,14,14,14,14
RE,0,0,0,0
RO,14,14,14,13
RS,14,14,14,14
RU,14,14,14,14
RW,14,14,14,13
SA,14,14,14,13
SB,14,14,14,0
SC,14,14,14,14
SD,14,3,14,5
SE,14,15,14,14
SG,14,14,14,10
SI,14,14,14,13
SJ,0,0,0,0
SK,14,14,14,14
SL,14,14,14,0
SM,13,9,14,9
SN,14,14,14,14
SO,14,12,14,0
SS,5,8,14,0
SV,14,14,14,14
SY,6,8,14,6
SZ,14,14,14,2
TD,14,14,14,4
TF,0,0,0,0
TG,14,14,14,10
TH,14,14,14,15
TJ,14,14,14,12
TM,14,6,14,7
TN,14,12,14,13
TR,14,15,14,13
TT,14,14,14,1
TW,0,0,0,0
TZ,14,14,14,12
UA,14,14,14,13
UG,14,14,14,3
UM,0,0,0,0
US,14,14,14,10
UY,14,14,14,13
UZ,14,14,14,15
VA,0,0,0,0
VC,14,14,14,12
VE,1,12,14,0
VG,0,4,14,9
VI,12,7,14,0
VN,14,14,14,12
VU,14,5,14,0
WF,0,0,0,0
WS,14,4,14,8
YE,3,7,14,1
ZA,14,14,14,12
ZM,14,14,14,2
ZW,14,14,14,5
