iso2,iso3,gdp_per_capita_ppp,gdp_year,internet_users_pct,internet_year,population,population_year,tertiary_education_pct,tertiary_year
AD,AND,74939.4746038578,2024,94.39759827,2024,81938,2024,67.6767676767677,2024
AE,ARE,79228.738801276,2024,100,2024,10986400,2024,63.7384451086316,2024
AF,AFG,2201.72290691677,2023,16.09499931,2024,42647492,2024,10.85435962677,2020
AG,ATG,33386.1917127894,2024,72.73040009,2024,93772,2024,25.1156271899089,2012
AL,ALB,26701.6749563776,2024,85.86389923,2024,2377128,2024,84.1496200561523,2024
AM,ARM,22823.1795255693,2024,81.33930206,2024,3033500,2024,52.7748065090859,2024
AO,AGO,10118.6089945408,2024,40.70479965,2024,37885849,2024,9.9549065722902,2024
AR,ARG,30431.1931223693,2024,89.66715228,2024,45696159,2024,107.822574129434,2023
AS,ASM,,,,,46765,2024,,
AT,AUT,73911.439663136,2024,91.92573373,2025,9177982,2024,92.6126708984375,2024
AU,AUS,72111.1844628126,2024,96.13140106,2024,27196812,2024,108.421989440918,2024
AW,ABW,50649.3015232212,2024,97.17,2017,107995,2024,14.0655418559377,2024
AZ,AZE,25088.9993757134,2024,90.80000181,2025,10202830,2024,41.3413783372226,2024
BA,BIH,25043.0886396127,2024,86.10091103,2024,3164253,2024,45.5027618408203,2023
BB,BRB,24822.5343309908,2024,70.36470032,2024,282467,2024,50.801079116886,2025
BD,BGD,9646.76984383255,2024,53.42171316,2024,173562364,2024,23.7295608009814,2024
BE,BEL,73514.4831045258,2024,95.77579144,2024,11858610,2024,82.1475601196289,2023
BF,BFA,2895.89152033665,2024,28.25270081,2024,23548781,2024,10.0419678526515,2024
BG,BGR,41969.4515718999,2024,82.438955,2024,6441421,2024,69.5460433959961,2024
BH,BHR,66941.2430367989,2024,100,2024,1588670,2024,58.3677241853667,2024
BI,BDI,1194.94681370387,2024,8.595999718,2024,14047786,2024,6.38454008102417,2025
BJ,BEN,4434.5642184028,2024,33.98379898,2024,14462724,2024,10.2350101470947,2022
BM,BMU,124252.835702586,2024,98.37,2017,64636,2024,17.3357105255127,2023
BN,BRN,89879.3614980758,2024,96.29828801,2024,462721,2024,36.4182725443167,2023
BO,BOL,12877.6351184372,2024,79.70469666,2024,12413315,2024,,
BR,BRA,22338.4765640635,2024,84.46347227,2024,211998573,2024,69.7317733764648,2024
BS,BHS,41197.9342548477,2024,92.47270203,2024,401283,2024,,
BT,BTN,16215.1520073153,2023,91.27739716,2024,791524,2024,13.011259392916,2024
BW,BWA,20538.1320178889,2024,57.45950036,2024,2521139,2024,21.4087908549348,2024
BY,BLR,33010.3307605357,2024,94.26182128,2024,9132629,2024,70.1107509145358,2024
BZ,BLZ,14346.5188049737,2024,80.00582262,2024,417072,2024,24.8098643151325,2024
CA,CAN,64610.3795171971,2024,94.353302,2024,41288599,2024,76.2666931152344,2023
CD,COD,1821.04868718058,2024,19.67350006,2024,109276265,2024,6.37987995147705,2020
CF,CAF,1263.10234213699,2024,13.78250027,2024,5330690,2024,2.77519989013672,2012
CG,COG,7026.36223281494,2024,47.25159836,2024,6332961,2024,10.3812103271484,2023
CH,CHE,96497.6947971323,2024,97.32103855,2025,9005582,2024,73.5430526733398,2024
CI,CIV,7669.23195715687,2024,41.43219902,2024,31934230,2024,12.3354902267456,2024
CL,CHL,36181.156616977,2024,95.590243,2024,19764771,2024,110.176902770996,2024
CM,CMR,5588.98645861945,2024,46.25880051,2024,29123744,2024,16.6614294830602,2024
CN,CHN,27104.8702677463,2024,91.6,2025,1408975000,2024,76.8757843123403,2024
CO,COL,22349.436440123,2024,79.34543299,2024,52886363,2024,59.2901382446289,2022
CR,CRI,31106.7643556729,2024,87.17019653,2024,5129910,2024,55.0202903747559,2019
CU,CUB,,,70.47699738,2024,10979783,2024,43.1040700506779,2024
CV,CPV,11195.1205312923,2024,74.73519897,2024,524877,2024,24.2905954414767,2018
CW,CUW,32693.2939764893,2024,68.1272162511339,2017,155967,2024,23.0842005676443,2013
CY,CYP,63006.61328125,2024,89.60099246,2024,1358282,2024,120.87727355957,2024
CZ,CZE,57285.4237001379,2024,87.68776014,2024,10905028,2024,66.7282867431641,2023
DE,DEU,73551.9347696836,2024,93.49999579,2024,83516593,2024,76.7096862792969,2024
DJ,DJI,7810.27869066792,2024,65.29889679,2024,1168722,2024,5.16012001037598,2011
DK,DNK,81878.2349849181,2024,99.76915157,2024,5976992,2024,78.9604110717773,2024
DM,DMA,21300.6848698089,2024,82.04689789,2024,66205,2024,,
DO,DOM,27541.6625283384,2024,91.0022446,2024,11427557,2024,57.6509476207267,2024
